gene_id	C1	C2	C3	V1	V2	V3
ENSG00000266295.15	29	16	24	15	33	39
ENSG00000230549.8	189	364	389	415	211	322
ENSG00000276329.8	421	344	413	399	517	450
ENSG00000211950.13	187	246	417	542	457	635
ENSG00000066032.14	436	662	379	598	343	332
ENSG00000160211.6	1224	1699	1847	1154	1288	1164
ENSG00000207825.10	485	202	421	254	292	447
ENSG00000227816.15	195	185	235	231	168	202
ENSG00000243977.13	541	791	621	548	898	675
ENSG00000172354.2	236	288	234	215	143	195
ENSG00000234469.11	9181	8003	4317	12748	7183	9816
ENSG00000255874.10	6	9	11	35	34	52
ENSG00000182704.15	5628	2876	4082	2597	3462	2115
ENSG00000196109.1	199	367	237	540	190	207
ENSG00000187554.3	475	473	1833	500	945	612
ENSG00000241612.11	3472	3111	6572	2182	3873	3331
ENSG00000151131.6	1834	1601	3213	1440	1916	2159
ENSG00000134817.7	103	99	67	141	76	132
ENSG00000186086.9	5875	14575	11872	3346	7471	11849
ENSG00000265694.6	12	10	11	10	17	21
ENSG00000224402.9	1990	1300	1043	3423	3478	2361
ENSG00000188643.12	246	118	98	182	158	122
ENSG00000185339.3	15	8	6	3	8	4
ENSG00000196859.7	8	8	10	14	12	8
ENSG00000108786.4	611	963	546	702	186	1139
ENSG00000207808.6	32313	40595	18783	43790	29046	26590
ENSG00000265894.10	966	993	675	587	824	487
ENSG00000207165.7	3101	4860	3389	4255	2331	4044
ENSG00000258984.6	2585	3111	2096	1397	1500	2299
ENSG00000249550.12	79	100	76	88	120	116
ENSG00000202423.7	3029	2893	3690	3196	3095	3184
ENSG00000169964.3	737	1017	1055	771	435	334
ENSG00000235827.7	278	676	449	318	834	575
ENSG00000287080.6	5367	2001	1754	3474	3534	3073
ENSG00000084623.2	2409	2156	2839	1178	1509	1066
ENSG00000227811.7	71	184	211	102	152	110
ENSG00000179919.13	806	740	448	640	952	382
ENSG00000102172.6	106	79	99	88	111	54
ENSG00000275101.11	1374	2172	1280	1206	1579	1236
ENSG00000171421.9	190	147	183	154	132	117
ENSG00000285912.15	300	959	1516	635	636	962
ENSG00000068976.2	699	904	1121	882	480	504
ENSG00000282706.15	311	177	173	241	236	277
ENSG00000228940.10	1293	881	1167	387	759	1288
ENSG00000137996.6	692	1253	1559	1465	1020	1003
ENSG00000198270.11	178	228	272	209	268	333
ENSG00000199107.5	4780	2811	6413	2817	4475	4210
ENSG00000252718.4	12109	12760	14192	8259	10972	4275
ENSG00000154265.8	68	131	73	107	93	215
ENSG00000108784.3	54	39	66	58	51	97
ENSG00000261359.2	1592	1459	618	780	729	997
ENSG00000050748.2	53	46	123	53	79	95
ENSG00000272342.15	214	139	123	148	278	88
ENSG00000271858.1	2024	3063	2652	1441	2253	1530
ENSG00000230250.3	91	97	98	83	47	153
ENSG00000140600.5	12	4	4	6	12	14
ENSG00000291596.12	9061	6166	5038	1310	1432	1536
ENSG00000244234.2	14	8	20	23	25	14
ENSG00000283345.10	12	17	25	34	36	23
ENSG00000264566.13	5	7	12	17	11	11
ENSG00000146232.12	843	2411	2044	3460	1709	1903
ENSG00000285967.5	3286	5139	3539	360	545	482
ENSG00000212123.14	1145	1059	796	1157	300	1238
ENSG00000106399.1	1254	2671	3218	2192	1805	2087
ENSG00000204983.13	654	929	1181	370	623	246
ENSG00000136932.3	20	61	60	27	49	34
ENSG00000087274.12	1778	1450	1154	1264	1099	701
ENSG00000265392.10	2892	2812	5015	4880	3508	4337
ENSG00000240250.13	13	19	8	8	15	13
ENSG00000138802.14	118	97	162	150	101	145
ENSG00000257786.14	156	185	281	208	169	150
ENSG00000255529.10	43	20	59	30	14	26
ENSG00000276327.9	942	991	1690	827	1520	1827
ENSG00000264477.13	79	99	89	94	80	113
ENSG00000271852.1	3351	6918	5694	5702	5057	3711
ENSG00000198513.6	446	606	325	519	584	623
ENSG00000102383.7	1368	1224	1666	1629	1361	1817
ENSG00000125787.2	8716	3255	5513	8209	9325	13645
ENSG00000034533.12	564	688	546	599	557	444
ENSG00000100603.2	2478	3355	5174	3297	3520	3308
ENSG00000109113.12	2333	1234	813	292	588	605
ENSG00000165325.4	16	11	23	14	20	28
ENSG00000284927.5	306	399	379	213	269	283
ENSG00000196466.1	2351	1314	2183	1256	2159	1637
ENSG00000252027.7	871	964	499	2100	672	1183
ENSG00000069431.9	91	274	177	202	244	173
ENSG00000178381.8	51	44	31	25	24	23
ENSG00000204764.2	1936	1614	1086	1083	516	1799
ENSG00000137561.7	29	45	70	62	67	96
ENSG00000261397.13	12	27	16	21	37	36
ENSG00000084090.9	1588	1098	1334	1523	1534	1255
ENSG00000211876.2	16	33	26	32	49	11
ENSG00000142025.15	141	950	1235	645	945	419
ENSG00000231165.13	320	230	185	573	183	527
ENSG00000106080.14	18	36	4	25	21	16
ENSG00000254724.15	2206	3174	5930	3903	4289	3969
ENSG00000163931.2	70	180	179	180	67	100
ENSG00000150551.1	2620	4086	6348	4207	2491	9143
ENSG00000273992.9	115	125	163	210	170	156
ENSG00000196101.4	73	155	106	88	164	164
ENSG00000166377.9	545	227	241	250	263	419
ENSG00000144233.3	243	120	144	250	155	242
ENSG00000165125.13	216	198	138	264	153	161
ENSG00000175164.8	61	124	50	63	70	31
ENSG00000151726.5	28	58	21	32	77	32
ENSG00000201909.2	1401	1998	644	1618	1326	1902
ENSG00000264793.2	65	89	105	83	80	48
ENSG00000251353.10	29	50	17	33	38	45
ENSG00000230782.5	208	147	184	122	203	149
ENSG00000271704.15	47	51	92	77	91	48
ENSG00000284495.6	36	39	26	9	15	2
ENSG00000249816.15	243	161	210	294	196	247
ENSG00000266017.8	453	934	441	331	651	420
ENSG00000228977.11	712	443	400	613	755	776
ENSG00000283394.2	829	972	831	899	1505	1122
ENSG00000277030.11	51	65	62	62	27	61
ENSG00000225043.4	151	267	244	307	180	164
ENSG00000284282.6	30	43	43	38	43	64
ENSG00000234545.5	96	145	54	80	134	145
ENSG00000270716.10	29	21	38	28	19	46
ENSG00000251166.14	48	14	68	29	57	36
ENSG00000231474.11	1159	1530	1012	1760	768	1376
ENSG00000152582.11	254	196	267	332	167	284
ENSG00000149548.8	247	238	241	457	163	127
ENSG00000201654.4	66027	31748	51057	7486	17652	14292
ENSG00000164543.5	444	208	275	358	338	343
ENSG00000163155.14	127	163	101	78	206	152
ENSG00000263964.6	660	4174	2039	1493	2831	722
ENSG00000139625.11	122	110	132	316	307	362
ENSG00000128394.15	3484	5030	7895	6326	7082	4365
ENSG00000282620.1	210	165	150	197	213	232
ENSG00000143891.12	162	54	137	95	127	118
ENSG00000263232.13	28	50	38	42	25	35
ENSG00000187764.14	812	746	1017	843	1043	481
ENSG00000186231.1	7369	7522	11709	10422	7795	5525
ENSG00000225834.11	135	128	202	201	191	110
ENSG00000130703.6	923	440	766	350	849	539
ENSG00000200914.15	738	620	970	615	634	678
ENSG00000101265.7	8154	4354	6378	4514	7729	6964
ENSG00000226164.2	2925	5725	2610	1027	2032	1154
ENSG00000264707.10	19	28	30	39	33	33
ENSG00000196357.5	122	146	152	110	137	145
ENSG00000252147.6	95	57	126	105	88	73
ENSG00000160161.4	1622	1363	852	565	552	920
ENSG00000199036.4	417	346	451	326	450	425
ENSG00000237816.15	955	527	388	919	894	929
ENSG00000284635.6	116	180	132	186	129	142
ENSG00000284162.14	207	428	279	186	179	211
ENSG00000251751.15	1241	1515	2367	3737	5294	7934
ENSG00000243663.15	417	262	175	308	286	399
ENSG00000253831.5	62	72	45	76	116	185
ENSG00000143742.1	4969	2796	3624	3344	3611	3008
ENSG00000144034.1	677	1371	625	244	536	288
ENSG00000107816.7	83	105	60	56	65	32
ENSG00000160208.13	9923	14968	15447	19918	18390	8914
ENSG00000149260.9	31	30	44	35	31	29
ENSG00000233621.12	35	24	30	12	17	8
ENSG00000279920.8	8	9	5	16	11	8
ENSG00000184937.8	979	1125	1856	879	1255	1247
ENSG00000169019.6	73	129	144	185	123	159
ENSG00000187094.12	358	321	202	174	183	314
ENSG00000232005.1	686	444	724	565	766	1092
ENSG00000130429.6	159	231	198	198	240	190
ENSG00000184271.9	10	17	15	13	10	14
ENSG00000232149.7	13	13	24	21	5	3
ENSG00000274619.8	176	235	90	224	170	220
ENSG00000163072.13	393	333	773	417	399	303
ENSG00000173210.11	15	13	11	6	15	8
ENSG00000277398.11	845	607	992	642	658	501
ENSG00000254932.10	537	839	785	1296	1682	545
ENSG00000274894.2	8019	7024	4422	7941	3364	3331
ENSG00000187288.4	707	485	526	379	894	575
ENSG00000253967.5	994	631	636	273	947	869
ENSG00000260573.7	1202	1171	1831	5467	7230	3978
ENSG00000268055.4	247	406	382	694	512	233
ENSG00000124614.4	305	250	672	400	751	345
ENSG00000253782.11	639	645	379	536	327	213
ENSG00000155980.10	2275	1131	1459	2720	1477	2250
ENSG00000198851.15	177	205	178	278	154	198
ENSG00000095015.5	227	165	84	278	89	191
ENSG00000215039.13	56	74	73	107	58	92
ENSG00000250374.12	222	236	149	49	72	73
ENSG00000233461.11	549	647	294	673	1471	695
ENSG00000005022.11	11872	6735	7803	5236	6376	6939
ENSG00000290415.7	48	46	67	36	72	86
ENSG00000106341.9	196	369	239	138	429	264
ENSG00000240849.14	42	33	59	54	58	48
ENSG00000211925.8	2988	1744	4353	2745	3999	1419
ENSG00000235670.8	93	266	109	175	183	184
ENSG00000156515.14	442	265	674	585	584	407
ENSG00000047644.3	934	755	392	985	714	606
ENSG00000121318.9	32	72	68	80	131	344
ENSG00000181518.3	269	470	345	246	274	279
ENSG00000257572.11	69	274	260	589	254	262
ENSG00000252355.1	1940	1633	1888	1776	1377	1366
ENSG00000035115.9	32	26	20	54	22	42
ENSG00000243273.9	34	35	63	11	21	19
ENSG00000277562.2	1777	1632	2023	2355	2111	1710
ENSG00000177234.12	82	186	127	172	119	92
ENSG00000091010.11	129	82	129	112	88	144
ENSG00000010818.5	166	514	544	337	406	751
ENSG00000254126.6	314	332	233	317	191	217
ENSG00000106948.12	17904	9675	10452	10634	13737	19794
ENSG00000100351.10	452	667	640	436	789	412
ENSG00000288625.11	650	810	428	833	942	633
ENSG00000201016.3	3574	553	1590	2883	1587	2142
ENSG00000172977.4	280	263	246	500	800	299
ENSG00000265241.10	1476	2734	2265	667	499	597
ENSG00000214211.3	29	27	55	21	95	19
ENSG00000284239.4	11	19	11	23	6	7
ENSG00000140682.8	86	133	65	54	34	28
ENSG00000164197.7	337	813	401	1543	1628	2510
ENSG00000255314.15	23	59	58	48	87	35
ENSG00000189186.5	1921	1399	1006	1266	1811	1835
ENSG00000244115.4	2615	2828	1349	1141	1688	794
